ticker,date,above_ma20,above_ma200,above_ma50,atr,bb_lower,bb_middle,bb_upper,high_52w,low_52w,ma_10,ma_20,ma_200,ma_5,ma_50,ma_alignment,macd,macd_histogram,macd_signal,pct_from_high,pct_from_low,price,return_1d,return_20d,return_5d,rsi,vol_20_avg,vol_ratio,volatility,volume,label,future_return_5d
QQQ,2025-10-08,1,1,1,5.95,584.07,597.96,611.85,611.44,416.06,602.44,597.96,528.84,606.51,582.21,1,-9.2613,-7.409,-1.8523,0.0,46.96,611.44,1.15,5.29,1.36,67.93,52257885,0.97,6.95,50629800,0,-2.2
QQQ,2025-10-09,1,1,1,5.9,585.88,599.29,612.7,611.44,416.06,604.16,599.29,529.32,607.51,583.06,1,-9.2151,-7.3721,-1.843,-0.12,46.78,610.7,-0.12,4.56,0.82,63.62,52298145,0.87,6.7,45551000,0,-2.08
QQQ,2025-10-10,0,1,1,7.26,586.51,599.43,612.35,611.44,416.06,603.51,599.43,529.68,604.77,583.55,1,-8.4647,-6.7718,-1.6929,-3.59,41.69,589.5,-3.47,0.48,-2.27,39.42,54641590,1.79,6.46,97614800,0,2.16
QQQ,2025-10-13,1,1,1,7.82,587.49,599.95,612.41,611.44,416.06,603.84,599.95,530.07,603.63,584.52,1,-8.5741,-6.8592,-1.7148,-1.54,44.69,602.01,2.12,1.75,-0.94,52.78,55717205,1.18,6.23,65872600,0,0.32
QQQ,2025-10-14,0,1,1,8.25,588.45,600.29,612.13,611.44,416.06,603.6,600.29,530.41,602.33,585.2,1,-8.4141,-6.7313,-1.6828,-2.2,43.73,598.0,-0.67,1.15,-1.08,51.35,57330260,1.21,5.92,69203200,0,2.26
QQQ,2025-10-15,1,1,1,8.48,590.03,600.9,611.77,611.44,416.06,603.5,600.9,530.78,600.49,586.03,1,-8.4512,-6.761,-1.6902,-1.51,44.74,602.22,0.71,2.07,-1.51,56.03,57001295,1.1,5.44,62805500,0,1.52
QQQ,2025-10-16,0,1,1,9.02,590.55,601.13,611.71,611.44,416.06,602.93,601.13,531.16,598.34,586.69,1,-8.4374,-6.7499,-1.6875,-1.87,44.21,599.99,-0.37,0.78,-1.75,52.8,57496930,1.23,5.29,70982000,0,1.9
QQQ,2025-10-17,1,1,1,9.24,590.75,601.36,611.98,611.44,416.06,603.0,601.36,531.61,601.23,587.38,1,-8.8216,-7.0573,-1.7643,-1.23,45.15,603.93,0.66,0.76,2.45,53.56,58188370,1.24,5.31,72024900,0,0.26
QQQ,2025-10-20,1,1,1,9.54,590.33,601.83,613.34,611.54,416.06,603.38,601.83,532.11,603.14,588.12,1,-8.6901,-6.9521,-1.738,0.0,46.98,611.54,1.26,1.55,1.58,57.07,57618715,0.79,5.75,45761700,0,0.91
QQQ,2025-10-21,1,1,1,9.25,590.4,602.49,614.58,611.54,416.06,604.07,602.49,532.61,605.81,588.89,1,-7.9861,-6.3889,-1.5972,-0.03,46.95,611.38,-0.03,2.2,2.24,55.33,56613850,0.79,6.05,44538200,0,2.73
